transaction_id,settlement_id,merchant_id,amount,currency,settlement_status,settlement_timestamp,bank_reference,failure_code,failure_reason
TXN100001,STL100001,MRC002,15000,INR,PENDING,2026-09-04T08:01:00,BANK95909,,BANK_PROCESSING_DELAY
TXN100002,STL100002,MRC004,25000,INR,PENDING,2026-09-04T08:04:00,BANK44718,,BANK_PROCESSING_DELAY
TXN100003,STL100003,MRC002,10000,INR,PENDING,2026-09-04T08:07:00,BANK86622,,BANK_PROCESSING_DELAY
TXN100004,STL100004,MRC004,15000,INR,SETTLED,2026-09-04T08:10:00,BANK38746,,
TXN100005,STL100005,MRC005,7500,INR,NOT_INITIATED,2026-09-04T08:13:00,BANK24371,,
TXN100006,STL100006,MRC002,25000,INR,PENDING,2026-09-04T08:16:00,BANK65333,,BANK_PROCESSING_DELAY
TXN100007,STL100007,MRC001,5000,INR,SETTLED,2026-09-04T08:19:00,BANK71348,,
TXN100008,STL100008,MRC003,10000,INR,NOT_INITIATED,2026-09-04T08:22:00,BANK25014,,
TXN100009,STL100009,MRC005,2500,INR,SETTLED,2026-09-04T08:25:00,BANK48469,,
TXN100011,STL100011,MRC002,10000,INR,SETTLED,2026-09-04T08:31:00,BANK49117,,
TXN100012,STL100012,MRC005,15000,INR,SETTLED,2026-09-04T08:34:00,BANK59009,,
TXN100013,STL100013,MRC005,10000,INR,FAILED,2026-09-04T08:37:00,BANK52487,BANK_TIMEOUT,BANK_TIMEOUT
TXN100014,STL100014,MRC001,1000,INR,FAILED,2026-09-04T08:40:00,BANK41385,INVALID_BANK_ACCOUNT,INVALID_BANK_ACCOUNT
TXN100015,STL100015,MRC002,15000,INR,NOT_INITIATED,2026-09-04T08:43:00,BANK73699,,
TXN100016,STL100016,MRC001,10000,INR,PENDING,2026-09-04T08:46:00,BANK96474,,BANK_PROCESSING_DELAY
TXN100017,STL100017,MRC005,1500,INR,PENDING,2026-09-04T08:49:00,BANK89507,,BANK_PROCESSING_DELAY
TXN100018,STL100018,MRC002,10000,INR,PENDING,2026-09-04T08:52:00,BANK62296,,BANK_PROCESSING_DELAY
TXN100019,STL100019,MRC003,7500,INR,SETTLED,2026-09-04T08:55:00,BANK25860,,
TXN100020,STL100020,MRC002,2000,INR,SETTLED,2026-09-04T08:58:00,BANK12757,,
TXN100021,STL100021,MRC005,2000,INR,SETTLED,2026-09-04T09:01:00,BANK10942,,
TXN100022,STL100022,MRC001,2000,INR,SETTLED,2026-09-04T09:04:00,BANK53309,,
TXN100023,STL100023,MRC005,2000,INR,SETTLED,2026-09-04T09:07:00,BANK73624,,
TXN100026,STL100026,MRC001,1000,INR,PENDING,2026-09-04T09:16:00,BANK65519,,BANK_PROCESSING_DELAY
TXN100027,STL100027,MRC004,0,INR,SETTLED,2026-09-04T09:19:00,BANK62772,,
TXN100028,STL100028,MRC001,2000,INR,SETTLED,2026-09-04T09:22:00,BANK80292,,
TXN100029,STL100029,MRC002,5000,INR,SETTLED,2026-09-04T09:25:00,BANK70637,,
TXN100030,STL100030,MRC001,7500,INR,SETTLED,2026-09-04T09:28:00,BANK16630,,
TXN100031,STL100031,MRC005,500,INR,SETTLED,2026-09-04T09:31:00,BANK31798,,
TXN100032,STL100032,MRC004,7500,INR,PENDING,2026-09-04T09:34:00,BANK17685,,BANK_PROCESSING_DELAY
TXN100033,STL100033,MRC004,500,INR,FAILED,2026-09-04T09:37:00,BANK69638,COMPLIANCE_REVIEW,COMPLIANCE_REVIEW
TXN100034,STL100034,MRC004,10000,INR,NOT_INITIATED,2026-09-04T09:40:00,BANK34890,,
TXN100035,STL100035,MRC003,2000,INR,SETTLED,2026-09-04T09:43:00,BANK81066,,
