transaction_id,ledger_entry_id,merchant_id,amount,currency,ledger_status,debit,credit,ledger_timestamp,posting_reference
TXN100001,LED100001,MRC002,15000,INR,POSTED,15000,0,2026-09-04T08:01:00,POST75435
TXN100002,LED100002,MRC004,25000,INR,POSTED,25000,0,2026-09-04T08:04:00,POST28301
TXN100004,LED100004,MRC004,15000,INR,POSTED,15000,0,2026-09-04T08:10:00,POST28131
TXN100006,LED100006,MRC002,25000,INR,POSTED,25000,0,2026-09-04T08:16:00,POST88172
TXN100007,LED100007,MRC001,5000,INR,POSTED,5000,0,2026-09-04T08:19:00,POST79352
TXN100009,LED100009,MRC005,2500,INR,POSTED,2500,0,2026-09-04T08:25:00,POST66985
TXN100010,LED100010,MRC002,7500,INR,POSTED,7500,0,2026-09-04T08:28:00,POST75612
TXN100012,LED100012,MRC005,15000,INR,POSTED,15000,0,2026-09-04T08:34:00,POST31174
TXN100013,LED100013,MRC005,10000,INR,POSTED,10000,0,2026-09-04T08:37:00,POST74042
TXN100014,LED100014,MRC001,1000,INR,POSTED,1000,0,2026-09-04T08:40:00,POST17592
TXN100016,LED100016,MRC001,10000,INR,POSTED,10000,0,2026-09-04T08:46:00,POST72296
TXN100017,LED100017,MRC005,1500,INR,POSTED,1500,0,2026-09-04T08:49:00,POST65461
TXN100020,LED100020,MRC002,2000,INR,POSTED,2000,0,2026-09-04T08:58:00,POST87110
TXN100021,LED100021,MRC005,2000,INR,POSTED,2000,0,2026-09-04T09:01:00,POST19305
TXN100022,LED100022,MRC001,2000,INR,POSTED,2000,0,2026-09-04T09:04:00,POST19287
TXN100023,LED100023,MRC005,2000,INR,POSTED,2000,0,2026-09-04T09:07:00,POST38080
TXN100025,LED100025,MRC004,2000,INR,POSTED,2000,0,2026-09-04T09:13:00,POST34957
TXN100026,LED100026,MRC001,1000,INR,POSTED,1000,0,2026-09-04T09:16:00,POST63883
TXN100027,LED100027,MRC004,500,INR,POSTED,500,0,2026-09-04T09:19:00,POST54473
TXN100028,LED100028,MRC001,2000,INR,POSTED,2000,0,2026-09-04T09:22:00,POST68800
TXN100029,LED100029,MRC002,4500,INR,POSTED,4500,0,2026-09-04T09:25:00,POST42742
TXN100030,LED100030,MRC001,7500,INR,POSTED,7500,0,2026-09-04T09:28:00,POST95477
TXN100031,LED100031,MRC005,500,INR,POSTED,500,0,2026-09-04T09:31:00,POST63269
TXN100032,LED100032,MRC004,7500,INR,POSTED,7500,0,2026-09-04T09:34:00,POST31579
TXN100033,LED100033,MRC004,500,INR,POSTED,500,0,2026-09-04T09:37:00,POST47388
TXN100036,LED100036,MRC001,3000,INR,POSTED,3000,0,2026-09-04T09:46:00,POST72493
TXN100038,LED100038,MRC005,1000,INR,POSTED,1000,0,2026-09-04T09:52:00,POST18907
TXN100039,LED100039,MRC002,5000,INR,POSTED,5000,0,2026-09-04T09:55:00,POST85880
TXN100040,LED100040,MRC005,500,INR,POSTED,500,0,2026-09-04T09:58:00,POST96163
